,Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Date,Quater,Month,Profit
39,09-02-2022,Europe,DevTools,Direct Sales,Business,6367.0,17,1191.0,No,2022-02-09,1,February,5176.0
40,10-02-2022,South America,Antivirus,Online,Business,5825.0,16,844.0,Yes,2022-02-10,1,February,4981.0
41,11-02-2022,North America,Database,Direct Sales,Business,2666.0,13,775.0,Yes,2022-02-11,1,February,1891.0
42,12-02-2022,South America,DevTools,Online,Consumer,9097.0,4,1667.0,No,2022-02-12,1,February,7430.0
43,13-02-2022,Europe,Antivirus,Direct Sales,Consumer,310.0,4,801.0,No,2022-02-13,1,February,-491.0
44,14-02-2022,Europe,CRM,Partner,Consumer,3545.0,14,1690.0,No,2022-02-14,1,February,1855.0
45,15-02-2022,North America,DevTools,Partner,Consumer,7218.0,5,1144.0,No,2022-02-15,1,February,6074.0
46,16-02-2022,Europe,DevTools,Direct Sales,Business,7693.0,16,1993.0,No,2022-02-16,1,February,5700.0
47,17-02-2022,Australia,Database,Direct Sales,Business,4220.0,14,796.0,No,2022-02-17,1,February,3424.0
48,18-02-2022,Europe,ERP,Direct Sales,Consumer,267.0,14,639.0,No,2022-02-18,1,February,-372.0
49,19-02-2022,South America,ERP,Online,Business,6219.0,14,613.0,Yes,2022-02-19,1,February,5606.0
50,20-02-2022,South America,Database,Direct Sales,Consumer,725.0,14,1753.0,Yes,2022-02-20,1,February,-1028.0
51,21-02-2022,South America,Database,Direct Sales,Consumer,1168.0,19,1157.0,No,2022-02-21,1,February,11.0
52,22-02-2022,South America,Database,Online,Consumer,6537.0,3,505.0,Yes,2022-02-22,1,February,6032.0
53,23-02-2022,Australia,ERP,Partner,Consumer,3194.0,17,1812.0,Yes,2022-02-23,1,February,1382.0
54,24-02-2022,Asia,Database,Direct Sales,Business,3545.0,14,1815.0,No,2022-02-24,1,February,1730.0
55,25-02-2022,North America,Antivirus,Direct Sales,Business,4919.0,10,1710.0,No,2022-02-25,1,February,3209.0
56,26-02-2022,South America,DevTools,Partner,Consumer,9788.0,13,872.0,No,2022-02-26,1,February,8916.0
57,27-02-2022,Europe,DevTools,Partner,Consumer,9658.0,4,1059.0,Yes,2022-02-27,1,February,8599.0
58,28-02-2022,South America,CRM,Online,Consumer,4221.0,11,1617.0,No,2022-02-28,1,February,2604.0
59,01-03-2022,Europe,CRM,Direct Sales,Consumer,2728.0,15,1234.0,No,2022-03-01,1,March,1494.0
60,02-03-2022,Europe,DevTools,Direct Sales,Consumer,3096.0,15,731.0,Yes,2022-03-02,1,March,2365.0
61,03-03-2022,South America,Antivirus,Online,Business,2761.0,2,864.0,No,2022-03-03,1,March,1897.0
62,04-03-2022,Australia,ERP,Partner,Consumer,5369.0,11,1959.0,Yes,2022-03-04,1,March,3410.0
63,05-03-2022,Europe,ERP,Online,Consumer,6108.0,2,727.0,Yes,2022-03-05,1,March,5381.0
64,06-03-2022,Europe,Antivirus,Partner,Business,4939.0,5,1589.0,No,2022-03-06,1,March,3350.0
65,07-03-2022,South America,ERP,Online,Business,4139.0,13,1217.0,No,2022-03-07,1,March,2922.0
66,08-03-2022,Europe,Database,Partner,Business,2192.0,1,1623.0,No,2022-03-08,1,March,569.0
67,09-03-2022,Europe,DevTools,Online,Business,4877.0,7,1492.0,Yes,2022-03-09,1,March,3385.0
68,10-03-2022,South America,DevTools,Partner,Business,3477.0,7,1159.0,No,2022-03-10,1,March,2318.0
69,11-03-2022,South America,Antivirus,Partner,Business,5462.0,10,1031.0,Yes,2022-03-11,1,March,4431.0
70,12-03-2022,North America,ERP,Partner,Business,6784.0,6,1632.0,No,2022-03-12,1,March,5152.0
71,13-03-2022,Australia,CRM,Partner,Business,6370.0,12,985.0,No,2022-03-13,1,March,5385.0
72,14-03-2022,Australia,CRM,Partner,Business,4679.0,13,1682.0,No,2022-03-14,1,March,2997.0
73,15-03-2022,Europe,ERP,Direct Sales,Consumer,5605.0,11,1520.0,No,2022-03-15,1,March,4085.0
74,16-03-2022,Australia,CRM,Partner,Business,2920.0,18,1367.0,Yes,2022-03-16,1,March,1553.0
75,17-03-2022,Europe,Antivirus,Direct Sales,Consumer,340.0,2,1053.0,No,2022-03-17,1,March,-713.0
76,18-03-2022,North America,Antivirus,Partner,Consumer,6288.0,16,808.0,No,2022-03-18,1,March,5480.0
77,19-03-2022,South America,ERP,Direct Sales,Consumer,2600.0,2,1566.0,No,2022-03-19,1,March,1034.0
78,20-03-2022,South America,CRM,Direct Sales,Consumer,6723.0,19,637.0,No,2022-03-20,1,March,6086.0
79,21-03-2022,South America,Antivirus,Online,Consumer,7495.0,6,1956.0,Yes,2022-03-21,1,March,5539.0
80,22-03-2022,Australia,Antivirus,Partner,Consumer,9168.0,1,1968.0,Yes,2022-03-22,1,March,7200.0
81,23-03-2022,North America,Database,Online,Consumer,9585.0,11,695.0,No,2022-03-23,1,March,8890.0
82,24-03-2022,Australia,Database,Online,Consumer,204.0,18,656.0,Yes,2022-03-24,1,March,-452.0
83,25-03-2022,Australia,Antivirus,Partner,Business,9905.0,10,1119.0,No,2022-03-25,1,March,8786.0
84,26-03-2022,North America,ERP,Online,Consumer,6862.0,18,1946.0,Yes,2022-03-26,1,March,4916.0
85,27-03-2022,North America,DevTools,Partner,Consumer,6471.0,1,1100.0,No,2022-03-27,1,March,5371.0
86,28-03-2022,North America,DevTools,Online,Consumer,251.0,19,1046.0,Yes,2022-03-28,1,March,-795.0
87,29-03-2022,North America,Antivirus,Partner,Consumer,8626.0,16,1555.0,Yes,2022-03-29,1,March,7071.0
88,30-03-2022,South America,Antivirus,Partner,Business,1540.0,7,768.0,Yes,2022-03-30,1,March,772.0
89,31-03-2022,Asia,Antivirus,Partner,Consumer,8390.0,15,1045.0,Yes,2022-03-31,1,March,7345.0
90,01-04-2022,Asia,ERP,Direct Sales,Business,254.0,1,937.0,Yes,2022-04-01,2,April,-683.0
91,02-04-2022,North America,Database,Online,Business,6495.0,9,1402.0,No,2022-04-02,2,April,5093.0
92,03-04-2022,Asia,Antivirus,Direct Sales,Consumer,4405.0,2,744.0,Yes,2022-04-03,2,April,3661.0
93,04-04-2022,Asia,Antivirus,Online,Consumer,2088.0,17,1323.0,No,2022-04-04,2,April,765.0
94,05-04-2022,North America,CRM,Online,Business,1165.0,10,1786.0,No,2022-04-05,2,April,-621.0
95,06-04-2022,Asia,ERP,Online,Consumer,4457.0,6,1271.0,No,2022-04-06,2,April,3186.0
96,07-04-2022,Australia,Antivirus,Direct Sales,Consumer,1321.0,5,1525.0,No,2022-04-07,2,April,-204.0
97,08-04-2022,Europe,CRM,Online,Business,4916.0,8,613.0,No,2022-04-08,2,April,4303.0
98,09-04-2022,Europe,DevTools,Direct Sales,Business,6290.0,8,1174.0,No,2022-04-09,2,April,5116.0
99,10-04-2022,North America,Antivirus,Partner,Consumer,8291.0,5,642.0,No,2022-04-10,2,April,7649.0
100,11-04-2022,South America,Antivirus,Online,Consumer,6819.0,12,1399.0,No,2022-04-11,2,April,5420.0
101,12-04-2022,North America,CRM,Online,Consumer,745.0,7,922.0,No,2022-04-12,2,April,-177.0
102,13-04-2022,South America,ERP,Partner,Business,3144.0,13,931.0,No,2022-04-13,2,April,2213.0
103,14-04-2022,Europe,Antivirus,Partner,Consumer,2951.0,13,615.0,No,2022-04-14,2,April,2336.0
104,15-04-2022,North America,DevTools,Online,Business,9159.0,17,965.0,Yes,2022-04-15,2,April,8194.0
105,16-04-2022,Australia,Antivirus,Partner,Business,8691.0,4,1260.0,No,2022-04-16,2,April,7431.0
106,17-04-2022,Asia,DevTools,Direct Sales,Consumer,3764.0,18,1377.0,No,2022-04-17,2,April,2387.0
107,18-04-2022,South America,Database,Direct Sales,Business,804.0,10,600.0,No,2022-04-18,2,April,204.0
108,19-04-2022,Asia,Database,Online,Consumer,8952.0,3,1477.0,Yes,2022-04-19,2,April,7475.0
109,20-04-2022,Asia,DevTools,Direct Sales,Consumer,8893.0,12,1233.0,Yes,2022-04-20,2,April,7660.0
110,21-04-2022,North America,ERP,Direct Sales,Business,8562.0,1,1305.0,No,2022-04-21,2,April,7257.0
111,22-04-2022,Asia,Antivirus,Online,Consumer,8466.0,11,1749.0,Yes,2022-04-22,2,April,6717.0
112,23-04-2022,Australia,Antivirus,Partner,Business,4855.0,18,1013.0,Yes,2022-04-23,2,April,3842.0
113,24-04-2022,Asia,Database,Online,Business,1857.0,13,761.0,No,2022-04-24,2,April,1096.0
114,25-04-2022,North America,DevTools,Direct Sales,Consumer,4827.0,17,1328.0,No,2022-04-25,2,April,3499.0
115,26-04-2022,Australia,Antivirus,Online,Consumer,4997.0,8,1918.0,Yes,2022-04-26,2,April,3079.0
116,27-04-2022,Europe,Antivirus,Online,Consumer,4950.0,19,1277.0,Yes,2022-04-27,2,April,3673.0
117,28-04-2022,Asia,ERP,Direct Sales,Consumer,5434.0,17,1748.0,No,2022-04-28,2,April,3686.0
118,29-04-2022,North America,CRM,Direct Sales,Business,2651.0,2,1636.0,No,2022-04-29,2,April,1015.0
119,30-04-2022,Europe,Database,Online,Business,3726.0,3,1277.0,No,2022-04-30,2,April,2449.0
120,01-05-2022,Europe,Database,Direct Sales,Business,4398.0,3,1471.0,No,2022-05-01,2,May,2927.0
121,02-05-2022,South America,CRM,Direct Sales,Consumer,1398.0,6,1110.0,No,2022-05-02,2,May,288.0
122,03-05-2022,Australia,Antivirus,Direct Sales,Business,4608.0,10,1296.0,No,2022-05-03,2,May,3312.0
123,04-05-2022,Asia,ERP,Direct Sales,Business,8124.0,18,1261.0,Yes,2022-05-04,2,May,6863.0
124,05-05-2022,North America,ERP,Direct Sales,Consumer,8298.0,18,1564.0,No,2022-05-05,2,May,6734.0
125,06-05-2022,South America,Database,Direct Sales,Consumer,4174.0,14,1115.0,No,2022-05-06,2,May,3059.0
126,07-05-2022,Australia,ERP,Partner,Consumer,5236.0,16,650.0,Yes,2022-05-07,2,May,4586.0
127,08-05-2022,South America,CRM,Online,Business,433.0,7,1683.0,No,2022-05-08,2,May,-1250.0
128,09-05-2022,Australia,Antivirus,Direct Sales,Consumer,6777.0,1,1527.0,No,2022-05-09,2,May,5250.0
129,10-05-2022,Australia,CRM,Online,Business,4106.0,17,1925.0,Yes,2022-05-10,2,May,2181.0
130,11-05-2022,Asia,DevTools,Partner,Business,4510.0,5,1143.0,Yes,2022-05-11,2,May,3367.0
131,12-05-2022,Australia,Database,Direct Sales,Business,8749.0,1,617.0,No,2022-05-12,2,May,8132.0
132,13-05-2022,South America,ERP,Online,Business,4672.0,17,682.0,Yes,2022-05-13,2,May,3990.0
133,14-05-2022,Australia,DevTools,Direct Sales,Business,310.0,10,1660.0,No,2022-05-14,2,May,-1350.0
134,15-05-2022,Asia,ERP,Direct Sales,Consumer,2352.0,12,602.0,No,2022-05-15,2,May,1750.0
135,16-05-2022,Asia,Antivirus,Direct Sales,Business,4809.0,2,1862.0,Yes,2022-05-16,2,May,2947.0
136,17-05-2022,South America,Antivirus,Direct Sales,Consumer,4302.0,16,922.0,No,2022-05-17,2,May,3380.0
137,18-05-2022,Europe,Antivirus,Direct Sales,Business,8618.0,15,1848.0,No,2022-05-18,2,May,6770.0
138,19-05-2022,Europe,ERP,Direct Sales,Business,5467.0,13,1660.0,No,2022-05-19,2,May,3807.0
139,20-05-2022,Australia,DevTools,Direct Sales,Consumer,6927.0,18,1807.0,No,2022-05-20,2,May,5120.0
140,21-05-2022,North America,Antivirus,Partner,Business,4746.0,14,821.0,Yes,2022-05-21,2,May,3925.0
141,22-05-2022,Australia,DevTools,Partner,Business,4453.0,18,1394.0,Yes,2022-05-22,2,May,3059.0
142,23-05-2022,South America,ERP,Direct Sales,Consumer,4518.0,2,640.0,No,2022-05-23,2,May,3878.0
143,24-05-2022,South America,DevTools,Direct Sales,Consumer,4168.0,2,803.0,No,2022-05-24,2,May,3365.0
144,25-05-2022,South America,ERP,Partner,Business,5432.0,3,965.0,No,2022-05-25,2,May,4467.0
145,26-05-2022,South America,ERP,Partner,Business,2579.0,5,1611.0,No,2022-05-26,2,May,968.0
146,27-05-2022,South America,Database,Partner,Business,8921.0,16,537.0,No,2022-05-27,2,May,8384.0
147,28-05-2022,Asia,ERP,Direct Sales,Consumer,3398.0,15,1855.0,Yes,2022-05-28,2,May,1543.0
148,29-05-2022,Europe,ERP,Online,Business,1560.0,12,606.0,Yes,2022-05-29,2,May,954.0
149,30-05-2022,South America,CRM,Online,Consumer,1056.0,9,1065.0,Yes,2022-05-30,2,May,-9.0
150,31-05-2022,North America,Antivirus,Online,Consumer,233.0,14,622.0,No,2022-05-31,2,May,-389.0
151,01-06-2022,North America,Database,Online,Business,4286.0,16,1653.0,No,2022-06-01,2,June,2633.0
152,02-06-2022,North America,Database,Direct Sales,Consumer,1957.0,11,712.0,No,2022-06-02,2,June,1245.0
153,03-06-2022,North America,Database,Online,Business,314.0,6,1827.0,Yes,2022-06-03,2,June,-1513.0
154,04-06-2022,Asia,CRM,Partner,Business,5248.0,10,1295.0,No,2022-06-04,2,June,3953.0
155,05-06-2022,North America,ERP,Partner,Consumer,6832.0,8,1923.0,Yes,2022-06-05,2,June,4909.0
156,06-06-2022,South America,Antivirus,Online,Consumer,949.0,16,936.0,No,2022-06-06,2,June,13.0
157,07-06-2022,Australia,DevTools,Partner,Consumer,4663.0,3,1181.0,No,2022-06-07,2,June,3482.0
158,08-06-2022,North America,ERP,Direct Sales,Consumer,7462.0,2,1541.0,No,2022-06-08,2,June,5921.0
159,09-06-2022,Asia,CRM,Online,Consumer,9859.0,16,1748.0,No,2022-06-09,2,June,8111.0
160,10-06-2022,Asia,ERP,Online,Consumer,6705.0,19,1132.0,Yes,2022-06-10,2,June,5573.0
161,11-06-2022,North America,ERP,Direct Sales,Business,2524.0,9,1839.0,No,2022-06-11,2,June,685.0
162,12-06-2022,Australia,CRM,Partner,Business,7194.0,16,677.0,No,2022-06-12,2,June,6517.0
163,13-06-2022,North America,Database,Direct Sales,Business,6020.0,4,1563.0,Yes,2022-06-13,2,June,4457.0
164,14-06-2022,Asia,Database,Direct Sales,Consumer,2197.0,10,1022.0,Yes,2022-06-14,2,June,1175.0
165,15-06-2022,Europe,Antivirus,Partner,Consumer,8526.0,19,652.0,Yes,2022-06-15,2,June,7874.0
166,16-06-2022,South America,Antivirus,Direct Sales,Consumer,4331.0,13,1080.0,No,2022-06-16,2,June,3251.0
167,17-06-2022,Asia,Database,Partner,Business,9624.0,18,1820.0,No,2022-06-17,2,June,7804.0
168,18-06-2022,North America,DevTools,Partner,Business,7257.0,15,1971.0,No,2022-06-18,2,June,5286.0
169,19-06-2022,South America,ERP,Direct Sales,Consumer,6481.0,4,1089.0,No,2022-06-19,2,June,5392.0
170,20-06-2022,North America,DevTools,Partner,Consumer,7311.0,9,1830.0,Yes,2022-06-20,2,June,5481.0
171,21-06-2022,North America,ERP,Direct Sales,Consumer,4833.0,4,1264.0,Yes,2022-06-21,2,June,3569.0
172,22-06-2022,Europe,Database,Partner,Consumer,5102.0,16,1576.0,Yes,2022-06-22,2,June,3526.0
173,23-06-2022,South America,Antivirus,Online,Business,8527.0,15,568.0,Yes,2022-06-23,2,June,7959.0
174,24-06-2022,South America,Antivirus,Partner,Business,6841.0,2,1336.0,Yes,2022-06-24,2,June,5505.0
175,25-06-2022,Europe,DevTools,Partner,Business,8983.0,14,605.0,No,2022-06-25,2,June,8378.0
176,26-06-2022,Asia,Antivirus,Direct Sales,Consumer,8919.0,3,903.0,No,2022-06-26,2,June,8016.0
177,27-06-2022,North America,Database,Partner,Business,9767.0,4,1350.0,No,2022-06-27,2,June,8417.0
178,28-06-2022,Australia,DevTools,Online,Consumer,7032.0,1,1711.0,Yes,2022-06-28,2,June,5321.0
179,29-06-2022,North America,ERP,Online,Consumer,5073.0,9,1341.0,Yes,2022-06-29,2,June,3732.0
180,30-06-2022,North America,Antivirus,Partner,Consumer,1746.0,17,1904.0,No,2022-06-30,2,June,-158.0
181,01-07-2022,Asia,CRM,Partner,Business,7083.0,14,1715.0,No,2022-07-01,3,July,5368.0
182,02-07-2022,North America,Antivirus,Online,Business,2987.0,17,734.0,No,2022-07-02,3,July,2253.0
183,03-07-2022,Europe,ERP,Direct Sales,Consumer,2901.0,1,1083.0,No,2022-07-03,3,July,1818.0
184,04-07-2022,Europe,DevTools,Online,Business,2459.0,10,1503.0,No,2022-07-04,3,July,956.0
185,05-07-2022,South America,ERP,Online,Consumer,8764.0,16,1908.0,No,2022-07-05,3,July,6856.0
186,06-07-2022,Australia,CRM,Partner,Consumer,8693.0,19,1982.0,Yes,2022-07-06,3,July,6711.0
187,07-07-2022,North America,Database,Partner,Consumer,6347.0,3,1645.0,No,2022-07-07,3,July,4702.0
188,08-07-2022,North America,Antivirus,Online,Business,4783.0,12,1361.0,Yes,2022-07-08,3,July,3422.0
189,09-07-2022,Asia,DevTools,Direct Sales,Business,6754.0,3,1635.0,No,2022-07-09,3,July,5119.0
190,10-07-2022,Europe,Database,Online,Consumer,6112.0,15,910.0,Yes,2022-07-10,3,July,5202.0
191,11-07-2022,Australia,ERP,Online,Business,4216.0,17,925.0,Yes,2022-07-11,3,July,3291.0
192,12-07-2022,South America,DevTools,Direct Sales,Business,3858.0,18,1482.0,Yes,2022-07-12,3,July,2376.0
193,13-07-2022,Europe,Database,Online,Business,3890.0,7,1808.0,No,2022-07-13,3,July,2082.0
194,14-07-2022,South America,DevTools,Online,Business,5932.0,19,1955.0,No,2022-07-14,3,July,3977.0
195,15-07-2022,Asia,CRM,Partner,Consumer,6512.0,7,1012.0,No,2022-07-15,3,July,5500.0
196,16-07-2022,Asia,CRM,Direct Sales,Business,4572.0,5,1695.0,No,2022-07-16,3,July,2877.0
197,17-07-2022,North America,Antivirus,Partner,Consumer,9690.0,8,1777.0,Yes,2022-07-17,3,July,7913.0
198,18-07-2022,Australia,Antivirus,Partner,Consumer,930.0,16,1435.0,No,2022-07-18,3,July,-505.0
199,19-07-2022,South America,CRM,Direct Sales,Business,3536.0,16,1021.0,No,2022-07-19,3,July,2515.0
200,20-07-2022,Europe,DevTools,Direct Sales,Consumer,4249.0,19,1429.0,No,2022-07-20,3,July,2820.0
201,21-07-2022,Asia,CRM,Online,Consumer,268.0,15,1377.0,Yes,2022-07-21,3,July,-1109.0
202,22-07-2022,North America,Antivirus,Partner,Business,3713.0,7,1410.0,Yes,2022-07-22,3,July,2303.0
203,23-07-2022,North America,CRM,Direct Sales,Consumer,2810.0,5,1429.0,No,2022-07-23,3,July,1381.0
204,24-07-2022,South America,CRM,Partner,Consumer,5110.0,11,1771.0,No,2022-07-24,3,July,3339.0
205,25-07-2022,Asia,DevTools,Partner,Business,3430.0,10,755.0,No,2022-07-25,3,July,2675.0
206,26-07-2022,Australia,Database,Direct Sales,Business,7289.0,9,1051.0,No,2022-07-26,3,July,6238.0
207,27-07-2022,Asia,Antivirus,Online,Business,5148.0,1,1379.0,Yes,2022-07-27,3,July,3769.0
208,28-07-2022,South America,DevTools,Partner,Business,1385.0,1,925.0,No,2022-07-28,3,July,460.0
209,29-07-2022,South America,CRM,Direct Sales,Business,7526.0,8,1967.0,No,2022-07-29,3,July,5559.0
210,30-07-2022,Asia,CRM,Online,Consumer,1082.0,3,895.0,Yes,2022-07-30,3,July,187.0
211,31-07-2022,South America,Database,Partner,Consumer,8407.0,2,1204.0,No,2022-07-31,3,July,7203.0
212,01-08-2022,Asia,Antivirus,Direct Sales,Business,9321.0,4,1816.0,No,2022-08-01,3,August,7505.0
213,02-08-2022,Europe,Antivirus,Partner,Business,3292.0,19,620.0,No,2022-08-02,3,August,2672.0
214,03-08-2022,Asia,ERP,Direct Sales,Consumer,9269.0,11,1731.0,Yes,2022-08-03,3,August,7538.0
215,04-08-2022,Asia,Antivirus,Direct Sales,Business,7951.0,5,1357.0,Yes,2022-08-04,3,August,6594.0
216,05-08-2022,South America,Database,Partner,Business,9232.0,10,548.0,No,2022-08-05,3,August,8684.0
217,06-08-2022,South America,ERP,Partner,Consumer,6696.0,8,1854.0,No,2022-08-06,3,August,4842.0
218,07-08-2022,North America,ERP,Direct Sales,Consumer,2433.0,13,559.0,Yes,2022-08-07,3,August,1874.0
219,08-08-2022,North America,CRM,Online,Consumer,8956.0,5,1273.0,Yes,2022-08-08,3,August,7683.0
220,09-08-2022,Europe,CRM,Partner,Business,1924.0,12,574.0,Yes,2022-08-09,3,August,1350.0
221,10-08-2022,North America,Antivirus,Direct Sales,Consumer,2209.0,13,607.0,No,2022-08-10,3,August,1602.0
222,11-08-2022,Asia,ERP,Direct Sales,Business,2784.0,8,1831.0,Yes,2022-08-11,3,August,953.0
223,12-08-2022,South America,CRM,Online,Consumer,3112.0,15,1649.0,Yes,2022-08-12,3,August,1463.0
224,13-08-2022,North America,Database,Online,Business,5193.0,13,795.0,Yes,2022-08-13,3,August,4398.0
225,14-08-2022,North America,CRM,Online,Business,7163.0,1,1431.0,No,2022-08-14,3,August,5732.0
226,15-08-2022,Europe,CRM,Partner,Business,9269.0,6,1692.0,Yes,2022-08-15,3,August,7577.0
227,16-08-2022,Europe,ERP,Direct Sales,Consumer,976.0,11,1834.0,No,2022-08-16,3,August,-858.0
228,17-08-2022,Asia,ERP,Direct Sales,Consumer,9548.0,13,1202.0,No,2022-08-17,3,August,8346.0
229,18-08-2022,South America,DevTools,Direct Sales,Consumer,9221.0,1,1846.0,No,2022-08-18,3,August,7375.0
230,19-08-2022,Europe,Database,Online,Business,635.0,11,1262.0,No,2022-08-19,3,August,-627.0
231,20-08-2022,North America,ERP,Direct Sales,Consumer,3667.0,11,1532.0,Yes,2022-08-20,3,August,2135.0
232,21-08-2022,South America,Antivirus,Partner,Consumer,8150.0,8,1969.0,No,2022-08-21,3,August,6181.0
233,22-08-2022,South America,Database,Online,Business,6155.0,3,854.0,No,2022-08-22,3,August,5301.0
234,23-08-2022,North America,Database,Online,Business,7813.0,19,753.0,No,2022-08-23,3,August,7060.0
235,24-08-2022,Europe,ERP,Online,Consumer,7218.0,12,1013.0,Yes,2022-08-24,3,August,6205.0
236,25-08-2022,North America,Database,Online,Consumer,5018.0,6,747.0,Yes,2022-08-25,3,August,4271.0
237,26-08-2022,South America,ERP,Partner,Consumer,508.0,8,926.0,Yes,2022-08-26,3,August,-418.0
238,27-08-2022,Australia,CRM,Direct Sales,Business,5884.0,5,1614.0,Yes,2022-08-27,3,August,4270.0
239,28-08-2022,Australia,DevTools,Partner,Consumer,581.0,10,1216.0,No,2022-08-28,3,August,-635.0
240,29-08-2022,Asia,CRM,Direct Sales,Business,6077.0,16,1063.0,No,2022-08-29,3,August,5014.0
241,30-08-2022,North America,ERP,Partner,Business,8024.0,12,1053.0,No,2022-08-30,3,August,6971.0
242,31-08-2022,North America,ERP,Online,Consumer,5891.0,17,792.0,Yes,2022-08-31,3,August,5099.0
243,01-09-2022,Asia,CRM,Online,Consumer,9971.0,6,1171.0,Yes,2022-09-01,3,September,8800.0
244,02-09-2022,Asia,Antivirus,Partner,Business,4613.0,9,1437.0,Yes,2022-09-02,3,September,3176.0
245,03-09-2022,Asia,Antivirus,Partner,Business,7513.0,10,709.0,No,2022-09-03,3,September,6804.0
